,Avg_RMSE_brain,Avg_SSIM_brain,Avg_PSNR_brain,Avg_RMSE_bone,Avg_SSIM_bone,Avg_PSNR_bone
Label_0,6.814315319061279,0.8329706764837358,13.754343274206004,60.248897552490234,0.9293085730633074,38.30240503040928
Label_1,7.6396403312683105,0.7670232788225256,10.852838121884911,95.12655639648438,0.919240287305491,35.41070516298716
Label_2,6.474430561065674,0.7888743489461213,11.859247678543586,61.107818603515625,0.9362087623773024,37.358483110107926
Label_3,7.413049221038818,0.7665996919820286,10.310647204270808,60.769378662109375,0.9276045315501649,33.965267064262484
Label_4,6.679304122924805,0.811452820414776,11.846477219420828,62.620906829833984,0.930615517335751,37.859852913575295
Label_5,6.2016119956970215,0.803249684690966,12.292978513479193,59.98710632324219,0.9389653830599123,38.84040218890927
