,Avg_RMSE_brain,Avg_SSIM_brain,Avg_PSNR_brain,Avg_RMSE_bone,Avg_SSIM_bone,Avg_PSNR_bone
Label_0,22.00359344482422,0.5248470553076545,5.2566885345757175,521.0254516601562,0.5887342440674688,15.11416731719088
Label_1,24.97533416748047,0.44573383515980475,3.5379443209372714,571.9834594726562,0.5702190153741795,14.140690705475022
Label_2,20.889188766479492,0.5425300738720571,4.262764275693129,367.9267578125,0.6331466554257418,18.643579620919898
Label_3,21.641870498657227,0.5385901768595233,3.8269226128813902,331.2318420410156,0.6324907322969295,17.60111018270278
Label_4,22.462465286254883,0.5124902025036113,4.112170855694687,499.85333251953125,0.5994115564609876,16.25862415180813
Label_5,22.41244888305664,0.49172057118722223,4.102695084240618,503.3557434082031,0.5963735828628046,16.253215337640626
