,Avg_RMSE_brain,Avg_SSIM_brain,Avg_PSNR_brain,Avg_RMSE_bone,Avg_SSIM_bone,Avg_PSNR_bone
Label_0,11.662055969238281,0.7580801883253191,9.773962129131732,100.40725708007812,0.8480103550182002,27.320224349063054
Label_1,13.038652420043945,0.6770680426332766,6.272462861007364,147.0595245361328,0.8306840891016077,23.034843816305994
Label_2,12.37486457824707,0.6939285933457543,6.389286846793677,112.32839965820312,0.8478810910544899,23.425511751328724
Label_3,13.850872039794922,0.6602260166345704,5.583423166590392,112.29467010498047,0.8314443013631424,21.426118303395718
Label_4,12.22111701965332,0.7255748345953283,6.522549582651933,105.81765747070312,0.8474972640973375,24.790146704542124
Label_5,11.525739669799805,0.7202905330623451,7.043596820246201,108.93377685546875,0.8579618612030544,25.492783384578182
